Station_1,Station_2,Distance_km,Cost_Euros
1,2,0.25066835406912563,0.00752005062207377
1,3,0.3633607087274935,0.010900821261824805
1,4,0.36793265634677885,0.011037979690403366
1,5,0.28641897545329403,0.008592569263598821
1,6,0.9282424341666893,0.02784727302500068
1,7,0.40529595986940264,0.01215887879608208
1,8,0.5996134668952042,0.017988404006856126
1,9,1.7504993273352374,0.05251497982005712
1,10,0.6129346348311142,0.018388039044933427
1,12,0.515136835778682,0.01545410507336046
1,13,0.5773131935158321,0.017319395805474966
1,14,1.086345208286433,0.032590356248592994
1,15,0.6311220954049347,0.01893366286214804
1,16,0.7772469015112159,0.023317407045336476
1,17,0.9563440987406185,0.02869032296221856
1,18,0.8618294325505717,0.025854882976517148
1,19,1.019062503792262,0.03057187511376786
1,20,0.9091519274039049,0.02727455782211715
1,21,1.132950316819037,0.03398850950457111
1,22,1.0130712288717558,0.030392136866152678
1,23,0.9463724663354441,0.02839117399006332
1,24,1.101025858175274,0.03303077574525823
1,25,1.380499488245033,0.04141498464735099
1,26,2.4376835193488646,0.07313050558046594
1,27,1.8621218268462143,0.05586365480538643
1,28,2.593527173234535,0.07780581519703605
1,29,3.1164969126130986,0.09349490737839296
1,30,3.426933171542941,0.10280799514628823
1,31,2.189344121688097,0.06568032365064291
1,32,1.8167409700391117,0.05450222910117335
1,33,2.252114923813428,0.06756344771440284
1,34,1.644365626438739,0.049330968793162164
1,35,1.0542929270020742,0.031628787810062224
1,36,1.333833393397338,0.04001500180192014
1,37,0.5617454356032294,0.01685236306809688
2,3,0.40413259344058794,0.012123977803217638
2,4,0.6146897902970796,0.018440693708912388
2,5,0.456812916764702,0.01370438750294106
2,6,0.9537351008063502,0.028612053024190502
2,7,0.1955341748531612,0.0058660252455948365
2,8,0.4210013838510805,0.012630041515532413
2,9,1.7349853061526301,0.0520495591845789
2,10,0.6759734651700069,0.020279203955100206
2,12,0.6962828281425487,0.02088848484427646
2,13,0.8240924583047854,0.02472277374914356
2,14,1.0237195320865808,0.030711585962597425
2,15,0.6233417666654759,0.01870025299996428
2,16,0.5344021577766213,0.016032064733298636
2,17,0.8136833926967734,0.024410501780903197
2,18,0.9104976395057292,0.027314929185171873
2,19,1.123383953311855,0.03370151859935565
2,20,1.159785993884234,0.034793579816527025
2,21,1.3817962697163313,0.041453888091489935
2,22,1.245358477396925,0.037360754321907746
2,23,1.0462734585372542,0.03138820375611762
2,24,0.8528390349746471,0.025585171049239415
2,25,1.4571702110876665,0.04371510633263
2,26,2.582229173098849,0.07746687519296547
2,27,2.0056269149686834,0.0601688074490605
2,28,2.7645863103418353,0.08293758931025506
2,29,3.3064939858052194,0.09919481957415657
2,30,3.6436032223516763,0.10930809667055028
2,31,2.375459489362044,0.07126378468086131
2,32,1.861146772157576,0.05583440316472728
2,33,2.2783958586670123,0.06835187576001037
2,34,1.4197438988654076,0.04259231696596223
2,35,1.2374982013494913,0.03712494604048474
2,36,1.5662688752919385,0.04698806625875815
2,37,0.7273656675697582,0.021820970027092747
3,4,0.502655341430877,0.01507966024292631
3,5,0.6432208204638072,0.019296624613914216
3,6,1.286072030263388,0.03858216090790163
3,7,0.37670112383286886,0.011301033714986065
3,8,0.4261703153528285,0.012785109460584854
3,9,2.0996852732846123,0.06299055819853837
3,10,0.2728122024302388,0.008184366072907163
3,12,0.37884982271498624,0.011365494681449586
3,13,0.7892632353346065,0.023677897060038193
3,14,0.7329589430007427,0.021988768290022283
3,15,0.9756007762809298,0.02926802328842789
3,16,0.7254029175060228,0.021762087525180683
3,17,0.6722144116454083,0.02016643234936225
3,18,0.5145066334218118,0.015435199002654353
3,19,0.720045681281207,0.021601370438436213
3,20,1.0416937264170418,0.031250811792511254
3,21,1.2902281085118048,0.038706843255354145
3,22,1.255452225726451,0.03766356677179353
3,23,1.307930571164939,0.03923791713494817
3,24,1.0533135754651062,0.03159940726395318
3,25,1.055259511024052,0.031657785330721555
3,26,2.185129375871907,0.0655538812761572
3,27,1.6095240965139574,0.04828572289541873
3,28,2.381718779116708,0.07145156337350124
3,29,2.938856509830554,0.08816569529491664
3,30,3.312558749305445,0.09937676247916336
3,31,2.0075024154647556,0.06022507246394267
3,32,1.4715352231571779,0.04414605669471534
3,33,1.8995337208691623,0.056986011626074876
3,34,1.7698995429265412,0.05309698628779623
3,35,0.8813376465589892,0.026440129396769672
3,36,1.2951565481035991,0.038854696443107975
3,37,0.9083461811974287,0.027250385435922862
4,5,0.41121717641776434,0.012336515292532931
4,6,1.0832152098185313,0.032496456294555935
4,7,0.7379824575087528,0.022139473725262586
4,8,0.8872864454623839,0.02661859336387152
4,9,1.9122712852102233,0.057368138556306694
4,10,0.6184248951019548,0.018552746853058643
4,12,0.32923982145716113,0.009877194643714834
4,13,0.2904439391805194,0.008713318175415583
4,14,1.1935852067101147,0.03580755620130344
4,15,0.8603238248732631,0.025809714746197893
4,16,1.1215774712085698,0.033647324136257095
4,17,1.1748614045807224,0.03524584213742167
4,18,0.8371218258108838,0.025113654774326512
4,19,0.8845748625831034,0.0265372458774931
4,20,0.5597913691792994,0.016793741075378982
4,21,0.7996458995308698,0.023989376985926094
4,22,0.7564025279612356,0.02269207583883707
4,23,0.9938898686785405,0.029816696060356213
4,24,1.4518522147543496,0.043555566442630485
4,25,1.2629412869784407,0.037888238609353225
4,26,2.1881245587014244,0.06564373676104274
4,27,1.623197215830851,0.04869591647492553
4,28,2.3052965931185154,0.06915889779355547
4,29,2.8006052232269587,0.08401815669680876
4,30,3.079318499545223,0.0923795549863567
4,31,1.8838219410527373,0.05651465823158212
4,32,1.7292803266963461,0.05187840980089038
4,33,2.179671241199043,0.06539013723597129
4,34,2.006554787846218,0.06019664363538654
4,35,0.7788365627634274,0.023365096882902822
4,36,0.9748442589420651,0.029245327768261952
4,37,0.5611667208729468,0.016835001626188405
5,6,0.689279854813899,0.020678395644416966
5,7,0.6472276910466279,0.01941683073139884
5,8,0.8626391788395383,0.02587917536518615
5,9,1.5216236977096218,0.04564871093128865
5,10,0.8731268953826067,0.0261938068614782
5,12,0.6914386376048645,0.020743159128145932
5,13,0.45777279795355746,0.013733183938606723
5,14,1.3717560228679562,0.04115268068603868
5,15,0.4494158851350623,0.01348247655405187
5,16,0.9806483674857743,0.02941945102457323
5,17,1.2354842547491645,0.037064527642474934
5,18,1.1200500394335247,0.03360150118300574
5,19,1.2391000609841218,0.037173001829523655
5,20,0.8176145274406478,0.02452843582321943
5,21,1.0012495122581924,0.03003748536774577
5,22,0.8108163652175001,0.024324490956525002
5,23,0.6657949187197676,0.019973847561593025
5,24,1.2814837066105111,0.03844451119831534
5,25,1.6123757462630959,0.04837127238789288
5,26,2.595926831547085,0.07787780494641254
5,27,2.0277082551187227,0.06083124765356168
5,28,2.7163946576558953,0.08149183972967686
5,29,3.2064116726657534,0.0961923501799726
5,30,3.4629001479760073,0.10388700443928021
5,31,2.293298175796726,0.06879894527390178
5,32,2.063534907122041,0.061906047213661226
5,33,2.5059527758483386,0.07517858327545016
5,34,1.6791467771708193,0.05037440331512458
5,35,1.1879528629541738,0.035638585888625215
5,36,1.3521671322195639,0.04056501396658692
5,37,0.2784683954245543,0.00835405186273663
6,7,1.131781730189174,0.03395345190567522
6,8,1.3550671421505645,0.040652014264516936
6,9,0.8324008410847159,0.024972025232541478
6,10,1.5410319881889616,0.04623095964566885
6,12,1.3804232471473838,0.041412697414421516
6,13,1.00195971618891,0.0300587914856673
6,14,1.9750638022615186,0.05925191406784555
6,15,0.33396826778555616,0.010019048033566685
6,16,1.3102493905682826,0.039307481717048474
6,17,1.7537448320399378,0.05261234496119813
6,18,1.7899607373528237,0.053698822120584716
6,19,1.9271968363760188,0.05781590509128057
6,20,1.3078826737904257,0.039236480213712774
6,21,1.390088294983035,0.041702648849491056
6,22,1.0769605028126177,0.03230881508437853
6,23,0.3021238258488448,0.009063714775465343
6,24,1.5038169433889765,0.0451145083016693
6,25,2.2983555102309543,0.06895066530692863
6,26,3.2684198025546807,0.09805259407664041
6,27,2.7061585183096675,0.08118475554929003
6,28,3.3643249370605983,0.10092974811181796
6,29,3.820361606041836,0.11461084818125508
6,30,4.009462053716657,0.12028386161149972
6,31,2.9292598758924457,0.08787779627677338
6,32,2.7430851495091546,0.08229255448527464
6,33,3.180252161809178,0.09540756485427535
6,34,1.4896883670404224,0.044690651011212675
6,35,1.8595383944709147,0.05578615183412744
6,36,1.9278597887375994,0.05783579366212798
6,37,0.5606972873982473,0.01682091862194742
7,8,0.22724675752559184,0.006817402725767755
7,9,1.8898329851140507,0.05669498955342152
7,10,0.6202591859171964,0.018607775577515893
7,12,0.7365731510658828,0.022097194531976484
7,13,0.979305505513372,0.029379165165401164
7,14,0.864950186985325,0.025948505609559754
7,15,0.7981994143445564,0.02394598243033669
7,16,0.3840979824062831,0.011522939472188494
7,17,0.6241556403001266,0.018724669209003796
7,18,0.8276141936309861,0.02482842580892958
7,19,1.0747198292505604,0.032241594877516815
7,20,1.296448768948304,0.038893463068449124
7,21,1.5293484412598728,0.04588045323779618
7,22,1.4179799529285946,0.04253939858785784
7,23,1.2392075743344992,0.037176227230034976
7,24,0.7159978515914404,0.02147993554774321
7,25,1.3785232980107758,0.041355698940323274
7,26,2.5476170486788337,0.07642851146036501
7,27,1.9744525700416118,0.05923357710124835
7,28,2.754792832608405,0.08264378497825216
7,29,3.3152126235261288,0.09945637870578386
7,30,3.6857763551164244,0.11057329065349272
7,31,2.3840070404351166,0.07152021121305349
7,32,1.75385914093168,0.0526157742279504
7,33,2.156003480985433,0.06468010442956298
7,34,1.3935591124710325,0.041806773374130975
7,35,1.2569680306659738,0.03770904091997922
7,36,1.6432636831898497,0.0492979104956955
7,37,0.9209455016870143,0.027628365050610428
8,9,2.097626499779882,0.06292879499339646
8,10,0.5885913241101848,0.017657739723305546
8,12,0.8037699008776806,0.024113097026330417
8,13,1.1527446328029973,0.03458233898408992
8,14,0.6747189977697083,0.02024156993309125
8,15,1.021107550335907,0.03063322651007721
8,16,0.33015220073561335,0.0099045660220684
8,17,0.39870430807993895,0.011961129242398168
8,18,0.7420279302817382,0.022260837908452145
8,19,1.0197663667127053,0.03059299100138116
8,20,1.4445718797068814,0.043337156391206444
8,21,1.6869284684338284,0.05060785405301485
8,22,1.606044770614438,0.04818134311843314
8,23,1.4663420758611823,0.04399026227583547
8,24,0.6394885739785499,0.019184657219356496
8,25,1.2779295132857844,0.03833788539857353
8,26,2.484541605606439,0.07453624816819317
8,27,1.9206194293982881,0.05761858288194865
8,28,2.7190604794413833,0.0815718143832415
8,29,3.2980100232801903,0.0989403006984057
8,30,3.7061889040258014,0.11118566712077405
8,31,2.3722711590416847,0.07116813477125054
8,32,1.6132829180105386,0.04839848754031616
8,33,1.9949582857247805,0.05984874857174341
8,34,1.4383520246062513,0.043150560738187536
8,35,1.2758736724741397,0.03827621017422419
8,36,1.7191537960374768,0.051574613881124304
8,37,1.139485752886471,0.03418457258659413
9,10,2.3622031551649054,0.07086609465494717
9,12,2.212821217614102,0.06638463652842307
9,13,1.8002994617785106,0.054008983853355313
9,14,2.753645617985475,0.08260936853956424
9,15,1.124091881956436,0.033722756458693076
9,16,1.96653840218505,0.058996152065551505
9,17,2.48696973815533,0.0746090921446599
9,18,2.610509675940973,0.0783152902782292
9,19,2.758393823518766,0.08275181470556298
9,20,2.0629636279983794,0.06188890883995138
9,21,2.085429843057252,0.06256289529171756
9,22,1.748290326417476,0.05244870979252428
9,23,0.9701368328913109,0.029104104986739328
9,24,2.0588327169613416,0.06176498150884025
9,25,3.1277428104554423,0.09383228431366328
9,26,4.090171153725194,0.12270513461175583
9,27,3.5326762463760204,0.1059802873912806
9,28,4.168009973203833,0.12504029919611498
9,29,4.5953019033465266,0.13785905710039578
9,30,4.7264511243300475,0.14179353372990142
9,31,3.7264459080673604,0.11179337724202082
9,32,3.5670032354150245,0.10701009706245074
9,33,3.9991573856035014,0.11997472156810504
9,34,1.648569641785701,0.049457089253571035
9,35,2.684279715459351,0.08052839146378053
9,36,2.699768847477376,0.08099306542432128
9,37,1.3686609992840069,0.04105982997852021
10,12,0.3418696482621309,0.010256089447863926
10,13,0.9030671325810614,0.027092013977431842
10,14,0.5858274127200398,0.017574822381601192
10,15,1.2394851194461367,0.0371845535833841
10,16,0.916746694044275,0.02750240082132825
10,17,0.6745390521608535,0.020236171564825607
10,18,0.24892969410739846,0.007467890823221954
10,19,0.4548727442017424,0.013646182326052272
10,20,1.0752879927353445,0.03225863978206033
10,21,1.3270403278674392,0.03981120983602318
10,22,1.3603287550450904,0.04080986265135271
10,23,1.5364317779852357,0.04609295333955707
10,24,1.225484853037406,0.03676454559112218
10,25,0.7824839739240826,0.023474519217722478
10,26,1.9273578927922879,0.05782073678376863
10,27,1.3545779405521357,0.04063733821656407
10,28,2.140858618099216,0.06422575854297648
10,29,2.7124087432326824,0.08137226229698047
10,30,3.1193385632178265,0.09358015689653479
10,31,1.784813603885614,0.05354440811656842
10,32,1.2049888581385677,0.03614966574415703
10,33,1.6392236243119984,0.04917670872935995
10,34,2.004755194021473,0.06014265582064419
10,35,0.6954258496244101,0.020862775488732305
10,36,1.1846360450590074,0.035539081351770224
10,37,1.117993220551639,0.03353979661654917
12,13,0.5874331017256351,0.01762299305176905
12,14,0.926023873306354,0.027780716199190623
12,15,1.1213329760569926,0.033639989281709776
12,16,1.1018190317942806,0.03305457095382842
12,17,0.9913628958900348,0.029740886876701046
12,18,0.5233865976088834,0.015701597928266503
12,19,0.5578035990804163,0.01673410797241249
12,20,0.7334356642472614,0.02200306992741784
12,21,0.9852713025679521,0.029558139077038567
12,22,1.030429498712696,0.03091288496138088
12,23,1.3167604209299546,0.039502812627898634
12,24,1.4313748773391888,0.042941246320175666
12,25,0.9359508484381076,0.028078525453143228
12,26,1.924548767235831,0.05773646301707493
12,27,1.3502725934665327,0.04050817780399599
12,28,2.079737134329246,0.06239211402987739
12,29,2.6116223331521433,0.0783486699945643
12,30,2.9534628496519373,0.08860388548955812
12,31,1.6815207419601113,0.050445622258803335
12,32,1.400519194468282,0.04201557583404846
12,33,1.8505704980669404,0.055517114942008214
12,34,2.1120036491337237,0.06336010947401172
12,35,0.5432259658206667,0.01629677897462
12,36,0.9163128358864622,0.027489385076593865
12,37,0.8842844820189067,0.026528534460567202
13,14,1.4825413114641144,0.04447623934392343
13,15,0.8639842002378434,0.025919526007135305
13,16,1.3545569983845114,0.040636709951535344
13,17,1.4602473726854677,0.04380742118056403
13,18,1.1097285902654197,0.033291857707962585
13,19,1.1153462913085221,0.033460388739255664
13,20,0.3598475834493724,0.010795427503481171
13,21,0.5591855356608084,0.016775566069824253
13,22,0.4665400681842297,0.01399620204552689
13,23,0.8383313820180421,0.025149941460541267
13,24,1.6768970640190697,0.05030691192057209
13,25,1.488676433206385,0.04466029299619155
13,26,2.2975099841474824,0.06892529952442447
13,27,1.7536141429859518,0.052608424289578556
13,28,2.368626089761193,0.07105878269283579
13,29,2.8187925204386373,0.08456377561315911
13,30,3.032908649902415,0.09098725949707245
13,31,1.9298016135559377,0.05789404840667813
13,32,1.9607145829331043,0.058821437487993136
13,33,2.4130629504556613,0.07239188851366984
13,34,2.136518185100449,0.06409554555301347
13,35,0.9104272481452291,0.027312817444356874
13,36,0.9309890694012675,0.027929672082038025
13,37,0.4412790014958808,0.013238370044876425
14,15,1.6468212409549559,0.04940463722864867
14,16,0.9321169332276313,0.027963507996828937
14,17,0.3795585794122402,0.011386757382367206
14,18,0.4619811659862862,0.013859434979588586
14,19,0.7109523655559506,0.02132857096667852
14,20,1.6577710189559336,0.04973313056867801
14,21,1.9085725776953364,0.057257177330860096
14,22,1.9438725574628641,0.05831617672388592
14,23,2.0312993706189535,0.0609389811185686
14,24,1.1254610119876187,0.03376383035962856
14,25,0.7721965318837826,0.02316589595651348
14,26,1.9989667560383668,0.059969002681151004
